Category,Item,Link,Quantity,Price (each),Total,Estimated Lead Time,Purchase Requested?,Materials Received,Notes,,
,Wifi Card,https://www.amazon.com/Intel-Dual-Band-Wireless-Ac-8265/dp/B01MZA1AB2/ref=as_li_ss_tl?&hvadid=312727440900&hvpos=1o2&hvnetw=g&hvrand=3969281190526673723&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9032151&hvtargid=pla-572903653196&psc=1&linkCode=sl1&tag=greenrobot0f-20&linkId=2a82ce0b06acc6318d6cad214f2a2631&language=en_US,4,22,88,7 days,Yes,Yes,,,
,Wifi Antenna kit,https://www.amazon.com/gp/product/B07P8CKGZM/ref=as_li_ss_tl?ie=UTF8&psc=1&linkCode=sl1&tag=greenrobot0f-20&linkId=cb0b97f25e3b3b52f6f74fb2de4f52ea&language=en_US,4,8.99,35.96,10 days,Yes,Yes,,,
,Camera,"https://www.leopardimaging.com/product/nvidia-jetson-cameras/nvidia_nano_mipi_camera_kits/li-imx219-mipi-ff-nano/li-imx219-mipi-ff-nano-h136/

https://www.amazon.com/Raspberry-Pi-Camera-Module-Megapixel/dp/B01ER2SKFS/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=jbstore074-20&linkId=e561a869968e9bb8bc571ea9f0663608&language=en_US
https://www.ebay.com/itm/8MP-IMX219-Camera-Module-for-the-official-Raspberry-Pi-Camera-Board-V2-160-FoV-/263922465185?itm=263922465185&user_name=&spid=2047675&swd=3&mplxParams=user_name%2Citm%2Cswd%2Cmpre%2C&sojTags=du%3Dmpre%2Citm%3Ditm%2Cuser_name%3Duser_name%2Csuri%3Dsuri%2Cspid%3Dspid%2Cswd%3Dswd%2C&mkevt=1&mkcid=16&mkrid=711-127632-2357-0&ufes_redirect=true",4,,0,"10 days for lopard imaging

28 days for raspberry pi",Yes,Yes,preference on camera to use? get both?,,
,M3x45mm Standoff Pack,https://www.amazon.com/uxcell-Aluminum-Standoff-Airplane-Quadcopter/dp/B07MJBK6SM/ref=as_li_ss_tl?keywords=45mm%2Bstandoff&qid=1564447127&s=toys-and-games&sr=1-19&linkCode=sl1&tag=greenrobot0f-20&linkId=ea4391bb82d17a409c1c7e0b11f737eb&language=en_US&th=1,2,11.49,22.98,7 days,Yes,Yes,,,
,M3 Universal Screw Pack,https://www.amazon.com/ShareGoo-340PCS-Universal-Accessories-Traxxas/dp/B07M5J9C27/ref=as_li_ss_tl?keywords=M3+screw&qid=1564447242&s=toys-and-games&sr=1-4&linkCode=sl1&tag=greenrobot0f-20&linkId=668b3b5857845d2fe59b7e781758d58d&language=en_US,1,10.99,10.99,7 days,Yes,Yes,,,
,M2x8mm Screw Pack,https://www.amazon.com/uxcell-Hexagon-Socket-Tapping-Fasteners/dp/B00YBMRAH4/ref=as_li_ss_tl?keywords=M2x8mm+tapping&qid=1564446585&s=industrial&sr=1-2&linkCode=sl1&tag=greenrobot0f-20&linkId=23d7251c6e1877a7bd693fb7d850ee35&language=en_US,1,8.99,8.99,7 days,Yes,Yes,,,
,Battery Strap Pack,https://www.amazon.com/200mm-Rubberized-Battery-Straps-Non-Slip/dp/B01CJG5JV2/ref=as_li_ss_tl?keywords=Apex+Non-Slip+battery+strap&qid=1564446885&s=gateway&sr=8-3&linkCode=sl1&tag=greenrobot0f-20&linkId=dccde0bdad25364913b0348be5e2311b&language=en_US,2,8.99,17.98,7 days,Yes,Yes,,,
Field/Soccer ball,Soccer Goals,https://www.walmart.com/ip/Franklin-Sports-Kids-Soccer-Goals-Set-2-Portable-Youth-Nets-54-x-36/53005627,1,29.9,29.9,10 days,Yes,Yes,2 pack,,
,Size 1 Soccer Ball,https://www.adidas.com/us/ucl-mini-pyrostorm-ball/GU0207.html?af_channel=Search&af_click_lookback=30d&af_reengagement_window=30d&c=PLA&cm_mmc=AdieSEM_Feeds-_-GoogleProductAds-_-NA-_-GU0207&cm_mmca1=US&cm_mmca2=NA&dfw_tracker=24819-GU0207&ds_rl=1257009&ds_rl=1257012&gclid=Cj0KCQiAoY-PBhCNARIsABcz773hHLflo_FhmxJbGxfWc2T8P45LhYC4u8FPrJzI2Gl5K6OubDXQn14aArBNEALw_wcB&gclsrc=aw.ds&is_retargeting=true&kpid=GU0207&pid=googleadwords_temp&sourceid=543457011GU0207,2,14,28,10 days,Yes,Yes,,,
,Field Walls,https://www.interstateplastics.com/Hdpe-Natural-High-Density-Polyethylene-Sheet-HDPNE~~SH.php?sku=HDPNE++SH&vid=20220228222845-6p&dim2=12&dim3=96&thickness=0.250&qty=1&recalculate.x=115&recalculate.y=21,14,15,210,14 days,Yes,Yes,Clearance sale,,
